iter	Passed	Remaining
0	1	110
1	2	103
2	3	98
3	4	96
4	5	96
5	6	95
6	7	94
7	8	96
8	9	98
9	10	97
10	11	95
11	12	94
12	13	92
13	14	90
14	15	89
15	16	88
16	17	86
17	18	84
18	19	82
19	20	81
20	21	81
21	23	82
22	24	82
23	25	80
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	31	73
30	32	72
31	33	71
32	34	70
33	36	69
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	68	36
65	69	35
66	69	34
67	70	33
68	71	32
69	73	31
70	73	30
71	74	29
72	75	28
73	76	26
74	77	25
75	79	24
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
